Name,Longitude,Latitude
Freshwater Buoy,-68.809073,44.455171
Mid PB Brackish,-68.856266,44.302742
Lower East side PB,-68.72987,44.02318
Off Ft Point State Park,-68.80592,44.46878
Near Traffic Channel Convergence,-68.848051,44.425191
Off Sears Island,-68.879681,44.41247
Near Potential Belfast Salmon Farm x2 Pins,-68.969807,44.397973
Outflow of Bagaduce River,-68.845489,44.347246
Marsden Brewer,-68.728262,44.17261
Marsden Brewer,-68.714511,44.141424
Carl Hunstberger,-68.689002,44.079817
Interest in AQ in Seal Bay,-68.798187,44.08991
VH fisherman,-68.875733,44.073092
New item,-68.873662,43.848149
New item,-68.761066,44.161094
New item,-68.922483,44.226991
New item,-68.853737,44.289956
New item,-69.187825,43.911456
New item,-68.688408,44.101336
New item,-68.772175,44.025673
New item,-68.858661,43.782623
New item,-68.944756,44.123716
New item,-68.956358,44.103569
New item,-69.078906,44.039419
New item,-69.062444,43.996097
New item,-68.847461,44.281252
New item,-69.136795,43.849711
New item,-69.331205,43.858536
New item,-69.067696,43.790641
Hurricane Island Center for Science and Leadership,-68.889257,44.034702
UMaine Bouy,-68.997177,44.055456